State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Prakasam,"Santhamaguluru APMC",Maize,Hybrid,FAQ,03/09/2026,2400,2480,2450
"Andhra Pradesh",Prakasam,"Maddipadu APMC","Bengal Gram(Gram)(Whole)",Gulabi,FAQ,03/09/2026,6000,6000,6000
"Andhra Pradesh",Prakasam,"Maddipadu APMC",Paddy(Common),"B P T",FAQ,03/09/2026,2800,2800,2800
Keralam,Kozhikode(Calicut),"Mukkom Market",Potato,Potato,FAQ,03/09/2026,2400,2800,2600
Keralam,Kozhikode(Calicut),"Mukkom Market",Cowpea(Veg),"Cowpea (Veg)",FAQ,03/09/2026,8000,8500,8200
Keralam,Kozhikode(Calicut),"Mukkom Market",Apple,Other,Large,03/09/2026,18500,19500,19000
Keralam,Kozhikode(Calicut),"Mukkom Market",Ashgourd,Other,FAQ,03/09/2026,2600,3000,2800
Bihar,Begusarai,"Balliah APMC",Potato,Local,"Grade C",03/09/2026,1100,1300,1200
"Andhra Pradesh",Annamayya,"Somala APMC",Tomato,Tomato,FAQ,03/09/2026,1200,1800,1500
Keralam,Ernakulam,"Thrippunithura Market",Beetroot,Beetroot,Medium,03/09/2026,7500,8000,7700
Keralam,Ernakulam,"Thrippunithura Market","Bottle gourd","Bottle Gourd",Medium,03/09/2026,5000,6000,5200
Keralam,Ernakulam,"Thrippunithura Market",Capsicum,Capsicum,Medium,03/09/2026,7300,100000,7500
Keralam,Ernakulam,"Thrippunithura Market",Carrot,Carrot,Medium,03/09/2026,7500,8000,7700
Keralam,Ernakulam,"Thrippunithura Market","Cluster beans","Cluster Beans",Medium,03/09/2026,4000,6000,4400
Keralam,Ernakulam,"Thrippunithura Market",Colacasia,Other,Medium,03/09/2026,6000,7000,6200
Keralam,Ernakulam,"Thrippunithura Market","Green Chilli","Green Chilly",Medium,03/09/2026,5500,10000,5700
Keralam,Ernakulam,"Thrippunithura Market",Tomato,Tomato,Medium,03/09/2026,3800,4500,4000
Keralam,Ernakulam,"Thrippunithura Market",Tapioca,Tapioca,Medium,03/09/2026,3500,4000,3700
Punjab,Bhatinda,"Bhagta Bhai Ka APMC","Green Chilli",Other,Medium,03/09/2026,4500,4500,4500
Gujarat,Sabarkantha,"Himatnagar APMC",Wheat,Sonalika,Local,03/09/2026,2650,2930,2750
Haryana,Sonipat,"Ganaur APMC","Peas Wet","Peas Wet",Medium,03/09/2026,10000,12000,10000
Haryana,Sonipat,"Ganaur APMC",Carrot,Carrot,Medium,03/09/2026,4000,5000,4500
Haryana,Sonipat,"Ganaur APMC",Cauliflower,Other,Medium,03/09/2026,5000,6000,5500
